net,traffic,scheme,lam,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
24,intermittent,ewma,0.0,14.384,545.5353535353537,0.06702658115305174,0.9627878787878789,26.75112951807229,113.0,34.996,68.228,0.4732987739652761,0.8048999103674933,0,0.14476656626506024,1.0
25,intermittent,ewma,0.0,15.032,542.7118734693879,0.0613435273010303,0.9208571428571429,27.54670558798999,114.0,36.548,67.888,0.4724236252545825,0.8040287769784172,0,0.1574228523769808,1.0
26,intermittent,ewma,0.0,16.296,540.3173777777779,0.05468834682498253,0.8907070707070708,26.60607424071991,114.0,38.104,67.644,0.4793542629999189,0.8121960344182566,0,0.13970753655793025,1.0
27,intermittent,ewma,0.0,14.48,546.6648848484849,0.06719048380813086,0.9703030303030303,25.15033072760072,113.0,34.22,69.864,0.47407957734852235,0.8136444181925576,0,0.14151132491481258,1.0
28,intermittent,ewma,0.0,14.436,543.7551070707071,0.06427281748752336,0.9267474747474749,26.845259215454366,113.0,34.7,68.232,0.4717179052691035,0.8073191017466038,0,0.15276956436033906,1.0
29,intermittent,ewma,0.0,15.172,545.1953737373739,0.06327595958870469,0.9594343434343434,27.072303675436835,113.0,35.884,69.512,0.47175069673169495,0.8025814021707246,0,0.1502309700743121,1.0
30,intermittent,ewma,0.0,13.52,542.4862521739132,0.06878732000097089,0.9282608695652174,28.300416281221093,113.0,34.864,61.632,0.475555906008516,0.7966101694915254,0,0.15795559666975023,1.0
31,intermittent,ewma,0.0,13.492,545.3846101010101,0.07110452459997915,0.9568080808080809,26.202052841665083,113.0,35.08,68.668,0.4727809706257982,0.8055875576036866,0,0.14521954001140466,1.0
32,intermittent,ewma,0.0,15.548,544.0720080808082,0.06052683049473555,0.9371717171717171,27.804769603880356,114.0,35.14,68.22,0.4720068906115418,0.7967806841046278,0,0.154607922392886,1.0
33,intermittent,ewma,0.0,15.544,545.2472565656566,0.06208096235645256,0.9633131313131315,26.9057546145494,114.0,36.596,69.276,0.4763373650458641,0.8027976799727056,0,0.14071661237785016,1.0
34,intermittent,ewma,0.0,14.556,543.4859797979798,0.0642029781765076,0.9338585858585859,27.79229406554473,114.0,36.248,67.688,0.4758185142097391,0.8031018206338503,0,0.15234720992028344,1.0
35,intermittent,ewma,0.0,19.152,541.302298989899,0.046443936604549804,0.8857777777777778,29.765260058881257,117.0,35.384,69.18,0.4706731636888648,0.7948232323232324,0,0.15093228655544652,1.0
36,intermittent,ewma,0.0,15.88,539.5317583333333,0.0549448035250425,0.8700833333333332,28.227845486469736,115.0,35.496,64.264,0.4754314126937701,0.8102965864577504,0,0.15203470357364182,1.0
37,intermittent,ewma,0.0,16.644,547.36392,0.05945365164717781,0.9889263157894737,28.046191747074523,116.0,33.832,66.7,0.4737131342736765,0.797316384180791,0,0.14083350441387804,1.0
38,intermittent,ewma,0.0,13.92,544.9300888888889,0.0686977823523278,0.955030303030303,28.52394366197183,113.0,35.888,68.108,0.4721542227662179,0.7887981330221704,0,0.1647887323943662,1.0
39,intermittent,ewma,0.0,14.644,544.380505050505,0.06455758783699961,0.9437575757575758,26.681563126252506,113.0,35.732,69.32,0.47328435465019203,0.8040953545232273,0,0.14989979959919839,1.0
40,intermittent,ewma,0.0,14.512,547.1809292929294,0.06842458768207431,0.986909090909091,26.937310030395135,114.0,35.104,68.832,0.47215923406399596,0.7992820819623093,0,0.14437689969604864,1.0
41,intermittent,ewma,0.0,14.952,544.5656888888889,0.06319608782647998,0.9439191919191919,28.72781520692974,114.0,34.904,67.784,0.4714538436796398,0.7993827160493827,0,0.1582290664100096,1.0
42,intermittent,ewma,0.0,14.228,544.3154303030304,0.06647778265505538,0.9444444444444444,28.229253981559093,114.0,36.268,67.872,0.4728872681147931,0.7959243945658594,0,0.1615674769488684,1.0
43,intermittent,ewma,0.0,14.344,542.7574905263159,0.06466459881363906,0.9194105263157896,26.91766298217911,114.0,34.652,64.468,0.47541227157926014,0.8140192198982475,0,0.1570042860365441,1.0
44,intermittent,ewma,0.0,15.124,543.0647919191921,0.06123368363662481,0.9253333333333333,28.32869890018676,114.0,36.6,68.576,0.47189960246316937,0.803868155815854,0,0.16019921145465865,1.0
45,intermittent,ewma,0.0,13.656,545.2598383838385,0.0704492895992896,0.9606060606060605,27.0225931202931,113.0,35.636,67.932,0.4734516765285996,0.7966917293233082,0,0.15245267657235906,1.0
46,intermittent,ewma,0.0,15.328,543.9773918367347,0.061432922912754845,0.9404081632653063,27.521596051007815,114.0,35.532,67.488,0.4737785016286645,0.8015527950310559,0,0.14520773344302756,1.0
47,intermittent,ewma,0.0,15.072,542.4511717171717,0.06011980325411699,0.9046868686868688,27.758882235528944,114.0,35.5,68.312,0.4716911764705882,0.803076923076923,0,0.15768463073852296,1.0
48,intermittent,ewma,0.0,14.992,541.7059469387756,0.06033006290428259,0.9023265306122448,27.672822665267574,114.0,36.932,67.912,0.4737014047696831,0.7997542997542998,0,0.15236096537250787,1.0
49,intermittent,ewma,0.0,14.74,541.8627474747476,0.06162051506953468,0.9025858585858587,26.91782786885246,113.0,36.432,67.672,0.47560975609756095,0.8097982708933718,0,0.14795081967213114,1.0
0,intermittent,dbaps,0.5,15.64,542.9827224489796,0.05932018450526538,0.9228979591836735,27.98867084766336,114.0,35.608,66.508,0.4731738849385908,0.7996443390634262,0,0.15213433137770585,1.0
1,intermittent,dbaps,0.5,14.732,549.0818383838384,0.06846639950463479,1.0064646464646465,28.151599443671767,115.0,33.788,69.68,0.4696955846055398,0.7988523104802174,0,0.14921517981323265,1.0
2,intermittent,dbaps,0.5,16.112,549.5003757575757,0.06272376524595306,1.0083636363636364,27.75374317421173,115.0,32.216,70.604,0.46792683994049183,0.8080041851948732,0,0.14549938347718866,1.0
3,intermittent,dbaps,0.5,14.168,543.4356448979592,0.06564872168647679,0.9286938775510205,26.13002600520104,113.0,35.364,67.688,0.47170723843301626,0.8066221480244853,0,0.15083016603320665,1.0
4,intermittent,dbaps,0.5,14.084,542.6617696969698,0.0653835842806431,0.9194747474747476,28.63648322736242,114.0,36.672,67.12,0.4734516704131463,0.7954613317408181,0,0.167068625301469,1.0
5,intermittent,dbaps,0.5,15.108,543.7569833333334,0.06171819392821232,0.9295,25.228080931943595,113.0,34.148,66.42,0.476511610085064,0.8109965635738832,0,0.13345595749029227,1.0
6,intermittent,dbaps,0.5,15.324,546.5081898989899,0.06357279445318662,0.9719595959595958,27.345454545454544,114.0,33.94,68.504,0.4741799553829629,0.8148366205475419,0,0.14606741573033707,1.0
7,intermittent,dbaps,0.5,14.02,542.4353939393941,0.0650074241662477,0.910020202020202,27.446456692913387,113.0,35.872,67.936,0.4704134885588117,0.8044795783926219,0,0.16043307086614172,1.0
8,intermittent,dbaps,0.5,17.1,540.8560080808082,0.05201926802318959,0.8872727272727272,27.783987316686485,115.0,36.392,68.104,0.47354763100619457,0.8078087167070218,0,0.1458581054300436,1.0
9,intermittent,dbaps,0.5,15.664,542.2156000000001,0.05831848057916169,0.9099797979797979,29.58783783783784,116.0,37.14,67.888,0.47249165209095245,0.7983635300993571,0,0.16279560810810811,1.0
10,intermittent,dbaps,0.5,15.94,547.040501010101,0.062000587596098444,0.9821818181818183,27.91343226788432,116.0,35.072,68.712,0.4706928549334983,0.8035620743844945,0,0.1537290715372907,1.0
11,intermittent,dbaps,0.5,16.676,544.7657979797981,0.057070446781747095,0.9478383838383839,28.753749013417522,116.0,35.256,68.86,0.47155963302752296,0.8054131054131054,0,0.14936858721389107,1.0
12,intermittent,dbaps,0.5,14.128,541.637785858586,0.06411184828243652,0.9024646464646464,26.289772727272727,113.0,36.484,67.172,0.47641509433962265,0.8000643915003219,0,0.14838286713286714,1.0
13,intermittent,dbaps,0.5,14.788,544.0701373737375,0.06326741548212136,0.934909090909091,26.33366434955313,113.0,35.388,68.6,0.4743307086614173,0.8152112676056338,0,0.1451837140019861,1.0
14,intermittent,dbaps,0.5,14.156,544.5755797979799,0.06694287009287009,0.9465050505050506,26.249809741248097,113.0,35.4,68.768,0.4719038522763451,0.8071079761258817,0,0.14745053272450534,1.0
15,intermittent,dbaps,0.5,14.156,543.3060040404041,0.0656330277961294,0.9253737373737373,26.98013524936602,113.0,35.94,68.5,0.4753345155569886,0.8009049773755657,0,0.1521555367709214,1.0
16,intermittent,dbaps,0.5,14.776,546.8446913580248,0.06627568154833949,0.9771358024691358,26.670246085011186,114.0,27.536,56.088,0.4706661234467305,0.8049113233287858,0,0.14541387024608501,1.0
17,intermittent,dbaps,0.5,15.856,546.7380208333334,0.06164320874183007,0.9767083333333334,26.899033721159533,114.0,34.032,68.58,0.46994631699375167,0.7998228520814881,0,0.14573062512324986,1.0
18,intermittent,dbaps,0.5,15.892,543.9245777777778,0.058874451707372245,0.9334141414141414,26.518999612252813,114.0,35.124,68.728,0.47382474310219275,0.8074314361545267,0,0.14443582784024817,1.0
19,intermittent,dbaps,0.5,15.848,545.6355797979799,0.060702703505644676,0.9612121212121213,26.825106054762824,114.0,35.016,69.456,0.4734470550370132,0.8143896976483762,0,0.1407635942923255,1.0
20,intermittent,dbaps,0.5,14.008,547.7504161616164,0.07069422244422245,0.9892525252525253,26.33142329020333,113.0,34.144,69.6,0.47041444398851046,0.8102228047182176,0,0.1467652495378928,1.0
21,intermittent,dbaps,0.5,14.324,545.5026707070707,0.0674235527692747,0.9582222222222222,26.538847620959647,114.0,34.784,67.46,0.47684284268700866,0.8090707262924199,0,0.14153784380646456,1.0
22,intermittent,dbaps,0.5,14.092,543.0350666666667,0.06577243017399266,0.9267916666666668,28.517530319735393,113.0,35.184,65.344,0.4719949153888933,0.7960738353354819,0,0.16670341786108048,1.0
23,intermittent,dbaps,0.5,15.5,548.7808083333333,0.06514595060780723,1.00975,27.469611021069692,115.0,33.372,67.732,0.4742970501983785,0.8095690747782003,0,0.13776337115072934,1.0
24,intermittent,dbaps,0.5,14.384,545.5353535353537,0.06702658115305174,0.9627878787878789,26.75112951807229,113.0,34.996,68.228,0.4732987739652761,0.8048999103674933,0,0.14476656626506024,1.0
25,intermittent,dbaps,0.5,15.032,542.7136285714286,0.061346078321438464,0.9208979591836735,27.54670558798999,114.0,36.552,67.892,0.4724236252545825,0.8040287769784172,0,0.1574228523769808,1.0
26,intermittent,dbaps,0.5,16.296,540.3173777777779,0.05468834682498253,0.8907070707070708,26.60607424071991,114.0,38.104,67.644,0.4793542629999189,0.8121960344182566,0,0.13970753655793025,1.0
27,intermittent,dbaps,0.5,14.48,546.6702141414142,0.06719625581390287,0.9703838383838385,25.130086189617156,113.0,34.22,69.868,0.47407957734852235,0.8136444181925576,0,0.1413108839446783,1.0
28,intermittent,dbaps,0.5,14.436,543.7551070707071,0.06427281748752336,0.9267474747474749,26.845259215454366,113.0,34.7,68.232,0.4717179052691035,0.8073191017466038,0,0.15276956436033906,1.0
29,intermittent,dbaps,0.5,15.172,545.1953737373739,0.06327595958870469,0.9594343434343434,27.072303675436835,113.0,35.884,69.512,0.47175069673169495,0.8025814021707246,0,0.1502309700743121,1.0
30,intermittent,dbaps,0.5,13.52,542.4862521739132,0.06878732000097089,0.9282608695652174,28.300416281221093,113.0,34.864,61.632,0.475555906008516,0.7966101694915254,0,0.15795559666975023,1.0
31,intermittent,dbaps,0.5,13.492,545.3846101010101,0.07110452459997915,0.9568080808080809,26.202052841665083,113.0,35.08,68.668,0.4727809706257982,0.8055875576036866,0,0.14521954001140466,1.0
32,intermittent,dbaps,0.5,15.548,544.0720080808082,0.06052683049473555,0.9371717171717171,27.804769603880356,114.0,35.14,68.22,0.4720068906115418,0.7967806841046278,0,0.154607922392886,1.0
33,intermittent,dbaps,0.5,15.544,545.2472565656566,0.06208096235645256,0.9633131313131315,26.9057546145494,114.0,36.596,69.276,0.4763373650458641,0.8027976799727056,0,0.14071661237785016,1.0
34,intermittent,dbaps,0.5,14.556,543.4859797979798,0.0642029781765076,0.9338585858585859,27.79229406554473,114.0,36.248,67.688,0.4758185142097391,0.8031018206338503,0,0.15234720992028344,1.0
