net,burst,scheme,p,reachable,nodes,tree_frame,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
0,1.25,static,0.2,0.99,99,19,19.0,558.9092530612246,0.06621482277121377,1.2580816326530613,15.103284445362528,19.0,63.708,98.0,0.0,1.0,0,0.0,1.0
1,1.25,static,0.2,1.0,100,18,18.0,562.2501535353535,0.07213692480359149,1.2984646464646463,16.3726795803067,18.0,61.452,99.0,0.0,1.0,0,0.0,1.0
2,1.25,static,0.2,1.0,100,20,20.0,559.8021131313131,0.0631050505050505,1.2621010101010102,17.00876120619397,20.0,62.052,99.0,0.0,1.0,0,0.0,1.0
3,1.25,static,0.2,0.99,99,18,18.0,558.6325224489797,0.06939682539682539,1.249142857142857,14.574355853114222,18.0,62.584,98.0,0.0,1.0,0,0.0,1.0
4,1.25,static,0.2,1.0,100,19,19.0,559.2992727272729,0.06634768740031899,1.2606060606060607,15.840677274581804,19.0,64.2,99.0,0.0,1.0,0,0.0,1.0
5,1.25,static,0.2,0.97,97,19,19.0,558.9233958333334,0.06560307017543861,1.2464583333333334,14.460802661676023,19.0,60.34,96.0,0.0,1.0,0,0.0,1.0
6,1.25,static,0.2,1.0,100,21,21.0,560.5117333333334,0.0611063011063011,1.2832323232323233,17.238778811160532,21.0,62.96,99.0,0.0,1.0,0,0.0,1.0
7,1.25,static,0.2,1.0,100,18,18.0,556.7905454545455,0.06760942760942759,1.216969696969697,15.473939393939395,18.0,64.52,99.0,0.0,1.0,0,0.0,1.0
8,1.25,static,0.2,1.0,100,22,22.0,555.9324848484849,0.05462993572084481,1.201858585858586,18.200940310711367,22.0,64.016,99.0,0.0,1.0,0,0.0,1.0
9,1.25,static,0.2,1.0,100,21,21.0,557.5399151515153,0.05848388648388648,1.2281616161616162,17.88358089120835,21.0,64.412,99.0,0.0,1.0,0,0.0,1.0
10,1.25,static,0.2,1.0,100,22,22.0,560.8357898989899,0.058398530762167125,1.284767676767677,17.183187461835946,22.0,63.808,99.0,0.0,1.0,0,0.0,1.0
11,1.25,static,0.2,1.0,100,22,22.0,559.3242303030305,0.05739393939393939,1.2626666666666666,17.8772419290554,22.0,62.996,99.0,0.0,1.0,0,0.0,1.0
12,1.25,static,0.2,1.0,100,19,19.0,558.3651232323232,0.06550558213716108,1.2446060606060607,16.242936687976904,19.0,63.784,99.0,0.0,1.0,0,0.0,1.0
13,1.25,static,0.2,1.0,100,18,18.0,559.0975757575758,0.069337822671156,1.2480808080808081,14.65025025025025,18.0,62.44,99.0,0.0,1.0,0,0.0,1.0
14,1.25,static,0.2,1.0,100,18,18.0,558.8519111111111,0.0698047138047138,1.2564848484848485,15.241105148081893,18.0,63.608,99.0,0.0,1.0,0,0.0,1.0
15,1.25,static,0.2,1.0,100,18,18.0,558.9336686868686,0.06934904601571268,1.2482828282828282,15.615430622009569,18.0,62.42,99.0,0.0,1.0,0,0.0,1.0
16,1.25,static,0.2,0.82,82,20,20.0,560.7151209876545,0.06445925925925926,1.2891851851851852,16.533532041728762,20.0,51.576,81.0,0.0,1.0,0,0.0,1.0
17,1.25,static,0.2,0.97,97,20,20.0,560.3510458333334,0.06343958333333333,1.2687916666666665,14.688527960526315,20.0,59.196,96.0,0.0,1.0,0,0.0,1.0
18,1.25,static,0.2,1.0,100,20,20.0,558.5210787878789,0.06222828282828283,1.2445656565656567,15.916936135812449,20.0,62.788,99.0,0.0,1.0,0,0.0,1.0
19,1.25,static,0.2,1.0,100,19,19.0,559.5741696969698,0.06664752791068579,1.2663030303030305,15.99185376515001,19.0,62.636,99.0,0.0,1.0,0,0.0,1.0
20,1.25,static,0.2,1.0,100,18,18.0,560.2486626262628,0.07078338945005612,1.2741010101010102,15.334079804560261,18.0,62.864,99.0,0.0,1.0,0,0.0,1.0
21,1.25,static,0.2,1.0,100,18,18.0,561.0003434343433,0.07158024691358024,1.2884444444444443,15.395906553648956,18.0,63.444,99.0,0.0,1.0,0,0.0,1.0
22,1.25,static,0.2,0.97,97,17,17.0,559.3439541666668,0.07454656862745099,1.2672916666666665,14.786448500104887,17.0,62.34,96.0,0.0,1.0,0,0.0,1.0
23,1.25,static,0.2,0.97,97,19,19.0,562.7222958333334,0.0691732456140351,1.3142916666666664,17.497614602779507,19.0,59.828,96.0,0.0,1.0,0,0.0,1.0
24,1.25,static,0.2,1.0,100,18,18.0,560.5455353535355,0.07153310886644221,1.2875959595959598,16.026236731423992,18.0,63.528,99.0,0.0,1.0,0,0.0,1.0
25,1.25,static,0.2,0.99,99,18,18.0,558.4566571428572,0.0692721088435374,1.2468979591836735,14.253592390204412,18.0,62.804,98.0,0.0,1.0,0,0.0,1.0
26,1.25,static,0.2,1.0,100,20,20.0,559.2619151515152,0.0632121212121212,1.2642424242424244,15.951135442011354,20.0,62.84,99.0,0.0,1.0,0,0.0,1.0
27,1.25,static,0.2,1.0,100,19,19.0,560.2808363636365,0.06645614035087719,1.2626666666666668,14.170571882446387,19.0,60.996,99.0,0.0,1.0,0,0.0,1.0
28,1.25,static,0.2,1.0,100,18,18.0,557.4697212121212,0.06813468013468015,1.2264242424242424,15.02815202091293,18.0,63.584,99.0,0.0,1.0,0,0.0,1.0
29,1.25,static,0.2,1.0,100,18,18.0,560.8717494949495,0.07140740740740742,1.2853333333333332,14.892481650466177,18.0,61.752,99.0,0.0,1.0,0,0.0,1.0
30,1.25,static,0.2,0.93,93,19,19.0,561.4791956521741,0.06907322654462243,1.312391304347826,17.35282522996058,19.0,60.26,92.0,0.0,1.0,0,0.0,1.0
31,1.25,static,0.2,1.0,100,17,17.0,559.7221090909092,0.07465240641711231,1.2690909090909093,15.224543080939947,17.0,63.36,99.0,0.0,1.0,0,0.0,1.0
32,1.25,static,0.2,1.0,100,20,20.0,559.2171313131314,0.06307474747474746,1.2614949494949497,16.65015166835187,20.0,63.112,99.0,0.0,1.0,0,0.0,1.0
33,1.25,static,0.2,1.0,100,19,19.0,561.8911313131314,0.06864646464646464,1.3042828282828283,16.503842159916925,19.0,61.876,99.0,0.0,1.0,0,0.0,1.0
34,1.25,static,0.2,1.0,100,18,18.0,560.5292929292929,0.07127721661054995,1.282989898989899,15.737355271176112,18.0,62.984,99.0,0.0,1.0,0,0.0,1.0
35,1.25,static,0.2,1.0,100,24,24.0,554.5233252525253,0.0488030303030303,1.1712727272727275,18.87354007249295,24.0,63.044,99.0,0.0,1.0,0,0.0,1.0
36,1.25,static,0.2,0.97,97,21,21.0,555.5199041666667,0.0575218253968254,1.2079583333333332,17.887036265110464,21.0,64.036,96.0,0.0,1.0,0,0.0,1.0
37,1.25,static,0.2,0.96,96,21,21.0,562.1976084210527,0.06201904761904762,1.3024,17.411426135152418,21.0,59.272,95.0,0.0,1.0,0,0.0,1.0
38,1.25,static,0.2,1.0,100,17,17.0,559.4033818181819,0.0748972073677956,1.273252525252525,14.721892279336473,17.0,64.948,99.0,0.0,1.0,0,0.0,1.0
39,1.25,static,0.2,1.0,100,19,19.0,558.8300040404041,0.06595215311004785,1.2530909090909093,15.84119560797072,19.0,62.944,99.0,0.0,1.0,0,0.0,1.0
40,1.25,static,0.2,1.0,100,18,18.0,561.6044444444445,0.0722334455667789,1.3002020202020204,15.957320808658363,18.0,63.28,99.0,0.0,1.0,0,0.0,1.0
41,1.25,static,0.2,1.0,100,19,19.0,558.7165494949495,0.06615204678362574,1.256888888888889,16.719183673469388,19.0,64.568,99.0,0.0,1.0,0,0.0,1.0
42,1.25,static,0.2,1.0,100,17,17.0,560.6439878787879,0.07534402852049911,1.2808484848484847,15.129305135951661,17.0,63.196,99.0,0.0,1.0,0,0.0,1.0
43,1.25,static,0.2,0.96,96,20,20.0,559.4445810526316,0.06312842105263158,1.2625684210526316,15.0646032405484,20.0,61.056,95.0,0.0,1.0,0,0.0,1.0
44,1.25,static,0.2,1.0,100,19,19.0,557.6471191919193,0.06509728867623603,1.2368484848484849,16.33719276863701,19.0,64.552,99.0,0.0,1.0,0,0.0,1.0
45,1.25,static,0.2,1.0,100,17,17.0,561.6142868686868,0.07662032085561497,1.3025454545454545,15.13657176985865,17.0,63.048,99.0,0.0,1.0,0,0.0,1.0
46,1.25,static,0.2,0.99,99,19,19.0,560.6095877551021,0.0676455424274973,1.2852653061224488,16.492190628754507,19.0,62.044,98.0,0.0,1.0,0,0.0,1.0
47,1.25,static,0.2,1.0,100,19,19.0,556.3026464646466,0.06307070707070707,1.1983434343434345,16.01343762535098,19.0,63.364,99.0,0.0,1.0,0,0.0,1.0
48,1.25,static,0.2,0.99,99,18,18.0,556.6728530612246,0.0676485260770975,1.2176734693877551,14.992625972961902,18.0,63.668,98.0,0.0,1.0,0,0.0,1.0
49,1.25,static,0.2,1.0,100,18,18.0,557.1835636363637,0.06791919191919192,1.2225454545454546,15.051640340218713,18.0,63.968,99.0,0.0,1.0,0,0.0,1.0
0,1.25,bsps,0.2,0.99,99,19,15.68,544.570269387755,0.06060459619166734,0.946530612244898,44.5490601115472,116.0,35.44,67.64,0.44266713031383115,0.6896632917353426,0,0.3174963850444123,1.0
1,1.25,bsps,0.2,1.0,100,18,14.992,548.3465777777778,0.06691517483968465,1.0012525252525253,42.302865213882164,116.0,35.284,70.276,0.44435975609756095,0.690463505594033,0,0.28934624697336564,1.0
2,1.25,bsps,0.2,1.0,100,20,15.892,545.9960606060608,0.0607714011956014,0.9644444444444444,43.0780358598207,116.0,35.184,69.836,0.4441375623663578,0.6900149031296572,0,0.2980847595762021,1.0
3,1.25,bsps,0.2,0.99,99,18,14.34,544.206224489796,0.0656399510353592,0.9395102040816327,42.46155406776222,114.0,35.064,68.036,0.44219554030874786,0.6887096774193548,0,0.3118279569892473,1.0
4,1.25,bsps,0.2,1.0,100,19,14.452,545.0946464646464,0.06620850782821887,0.954060606060606,43.450836393308855,115.0,35.968,68.5,0.4439969796123836,0.6915262064188409,0,0.31191350469196244,1.0
5,1.25,bsps,0.2,0.97,97,19,15.232,545.2354041666667,0.06258475495433216,0.9512916666666668,42.1085464753587,115.0,33.88,67.356,0.4436412540976717,0.6926257753273605,0,0.3008941567893533,1.0
6,1.25,bsps,0.2,1.0,100,21,15.536,546.0663353535354,0.0626355306544161,0.9694141414141415,42.72300849171047,116.0,35.132,69.036,0.4460646521433591,0.6994655004859086,0,0.2994338859684594,1.0
7,1.25,bsps,0.2,1.0,100,18,13.984,542.9875151515153,0.06579859867801045,0.91789898989899,42.70747474747475,114.0,36.04,68.368,0.44355585486993854,0.6934339967970716,0,0.3115151515151515,1.0
8,1.25,bsps,0.2,1.0,100,22,17.084,542.3003070707072,0.053293725003735325,0.9077171717171717,43.63000817661488,117.0,36.428,69.068,0.4463511720477665,0.6932826362484157,0,0.2998773507767784,1.0
9,1.25,bsps,0.2,1.0,100,21,15.888,543.8921979797981,0.059034159281837306,0.9332525252525252,42.85387394620634,117.0,36.36,68.764,0.4458712475550642,0.7007781183683094,0,0.29566439181051785,1.0
10,1.25,bsps,0.2,1.0,100,22,16.0,546.5977414141415,0.06134856559180604,0.9770505050505051,43.062283737024224,117.0,35.708,68.696,0.44557411441943034,0.6906128069772779,0,0.3006309790352127,1.0
11,1.25,bsps,0.2,1.0,100,22,16.752,545.1492646464648,0.05708665427184519,0.9548686868686869,43.764647269828615,117.0,35.684,69.52,0.4438959894226531,0.6936221419975933,0,0.2993224392188123,1.0
12,1.25,bsps,0.2,1.0,100,19,14.184,544.3197494949496,0.06661541306608385,0.9404444444444444,42.40977521138379,114.0,35.68,68.704,0.4458461283094033,0.691025946203285,0,0.3085172200453702,1.0
13,1.25,bsps,0.2,1.0,100,18,15.096,545.3726666666668,0.0631492659845601,0.9526868686868687,41.57897897897898,115.0,34.892,69.176,0.4462298100259436,0.6996047430830039,0,0.2936936936936937,1.0
14,1.25,bsps,0.2,1.0,100,18,14.2,544.5704888888889,0.06679992447639506,0.9475151515151515,42.547008547008545,114.0,35.848,69.008,0.4416187901318013,0.6878115088355233,0,0.3108725899423574,1.0
15,1.25,bsps,0.2,1.0,100,18,14.18,545.3311555555556,0.06758403555248475,0.9560404040404041,41.48724082934609,114.0,35.88,70.084,0.4414621225498852,0.6839961667465261,0,0.2966507177033493,1.0
16,1.25,bsps,0.2,0.82,82,20,14.784,545.8825185185186,0.06560548945124109,0.9684938271604938,42.393194237456534,115.0,28.896,56.448,0.4451303885045237,0.6932935916542474,0,0.3025335320417288,1.0
17,1.25,bsps,0.2,0.97,97,20,15.888,546.9916875,0.06175643419761067,0.9809166666666668,40.766447368421055,115.0,34.192,68.852,0.4429910010205028,0.6920171241500881,0,0.28289473684210525,1.0
18,1.25,bsps,0.2,1.0,100,20,15.964,544.8492606060607,0.059481717519952806,0.9476767676767677,42.06345998383185,115.0,35.348,69.476,0.4444252227315976,0.6934829314872285,0,0.29688763136620855,1.0
19,1.25,bsps,0.2,1.0,100,19,15.848,545.245692929293,0.06044902983726513,0.9566060606060605,42.91814027419034,115.0,35.32,69.38,0.44267760964349834,0.6892865442714385,0,0.30260282137889927,1.0
20,1.25,bsps,0.2,1.0,100,18,14.076,546.0955191919192,0.06886608021608022,0.9680808080808081,41.81657166123779,114.0,35.2,69.124,0.4452616451094767,0.6909614001438504,0,0.30232084690553745,1.0
21,1.25,bsps,0.2,1.0,100,18,14.472,546.7857454545455,0.06790734635734637,0.9790707070707072,43.44469712631797,115.0,35.172,68.724,0.44626701614948844,0.6944644140905823,0,0.30762869547240024,1.0
22,1.25,bsps,0.2,0.97,97,17,14.148,545.1183791666666,0.06763271901709401,0.9564166666666667,43.3620725823369,114.0,34.728,66.524,0.4438949522510232,0.6935861423220974,0,0.31403398363750784,1.0
23,1.25,bsps,0.2,0.97,97,19,15.652,548.522325,0.06442455686334364,1.0080416666666667,42.23148724331052,116.0,33.98,67.972,0.4453858905875852,0.6947584789311408,0,0.28313627878033604,1.0
24,1.25,bsps,0.2,1.0,100,18,14.54,545.6990424242425,0.06660987106575342,0.966060606060606,43.27057881033447,114.0,35.296,68.548,0.44468870911009495,0.6933139534883721,0,0.3082315241337873,1.0
25,1.25,bsps,0.2,0.99,99,18,15.152,544.6235020408164,0.062489715776420464,0.9463673469387756,41.27787897186804,114.0,35.376,68.544,0.4457758620689655,0.6973493975903614,0,0.29366524994940296,1.0
26,1.25,bsps,0.2,1.0,100,20,16.616,544.6352808080808,0.05719181800311831,0.949050505050505,43.94545823195458,116.0,35.68,69.392,0.4432698441629454,0.690091879811274,0,0.31123276561232766,1.0
27,1.25,bsps,0.2,1.0,100,19,14.36,547.057781818182,0.06821240716436797,0.9769292929292929,39.86993645750596,114.0,34.484,70.344,0.4433218115749357,0.6959924116670619,0,0.2875297855440826,1.0
28,1.25,bsps,0.2,1.0,100,18,14.488,543.5376727272727,0.0640488304723599,0.9261010101010102,42.14136336215564,114.0,35.536,68.64,0.444207291044139,0.695591322603219,0,0.30444399758696966,1.0
29,1.25,bsps,0.2,1.0,100,18,15.22,546.6665131313133,0.06452234105763517,0.9803232323232324,41.57230708192819,114.0,35.58,70.372,0.44199044442441177,0.6904017320182824,0,0.2945844078555842,1.0
30,1.25,bsps,0.2,0.93,93,19,13.796,545.9345086956522,0.07099177941623594,0.9762608695652174,45.008103372755144,114.0,33.752,63.284,0.44267405611361277,0.6858638743455497,0,0.3232588699080158,1.0
31,1.25,bsps,0.2,1.0,100,17,13.724,545.0448808080808,0.0695980452207725,0.953939393939394,42.58505724040972,114.0,35.932,69.028,0.44320027352765196,0.6898395721925134,0,0.30688893352078733,1.0
32,1.25,bsps,0.2,1.0,100,20,15.612,544.9870585858587,0.06126888034184216,0.953050505050505,41.80080889787664,115.0,35.552,69.308,0.44559412550066757,0.6943272386310361,0,0.2940343781597573,1.0
33,1.25,bsps,0.2,1.0,100,19,15.572,548.0953292929293,0.06456880998449625,1.0032323232323233,41.91214953271028,115.0,35.36,70.624,0.4447997157829292,0.6908043096968178,0,0.2897196261682243,1.0
34,1.25,bsps,0.2,1.0,100,18,14.524,546.2013575757577,0.0670263570884783,0.9724444444444444,42.36867763558806,115.0,35.3,69.172,0.4456089627755692,0.6925228891149542,0,0.2981921592524883,1.0
35,1.25,bsps,0.2,1.0,100,24,19.476,541.3569818181819,0.04580193775473107,0.8888484848484849,44.68425291985501,119.0,36.544,69.996,0.442534805568891,0.6889178617992178,0,0.2976238421264599,1.0
36,1.25,bsps,0.2,0.97,97,21,15.992,541.1710833333334,0.05590664369295852,0.8924583333333334,45.97332221759066,116.0,34.88,65.096,0.44305698253378645,0.6865346965412226,0,0.3282617757398916,1.0
37,1.25,bsps,0.2,0.96,96,21,16.552,548.5447957894738,0.06114358412702392,1.0084210526315789,42.155617139202725,117.0,34.364,67.92,0.44552989934872705,0.6938606194690266,0,0.282455766361117,1.0
38,1.25,bsps,0.2,1.0,100,17,13.944,544.7427313131313,0.06854856608038426,0.9533737373737373,42.90763874667213,114.0,36.168,68.224,0.4452302631578947,0.6942396313364055,0,0.3082121646528773,1.0
39,1.25,bsps,0.2,1.0,100,19,14.852,544.8149818181819,0.0640111731405849,0.9491717171717172,41.80642537616917,114.0,35.608,69.496,0.44495985727029436,0.6915841584158415,0,0.2982919886132574,1.0
40,1.25,bsps,0.2,1.0,100,18,14.304,547.4382181818182,0.06962917556135023,0.9925656565656565,43.47335103124362,115.0,35.784,69.42,0.44381071205774886,0.6870191114420452,0,0.3081478456197672,1.0
41,1.25,bsps,0.2,1.0,100,19,14.748,543.8696282828282,0.06353358036299213,0.9359191919191919,44.85857142857143,115.0,35.668,67.776,0.4425361018542254,0.6858273213870142,0,0.32326530612244897,1.0
42,1.25,bsps,0.2,1.0,100,17,14.232,546.5360646464648,0.06871636446342327,0.9749898989898991,41.79295065458207,114.0,35.296,68.96,0.44540816326530613,0.6981132075471698,0,0.29788519637462235,1.0
43,1.25,bsps,0.2,0.96,96,20,14.488,545.1719789473684,0.06613905709701375,0.9520421052631579,42.33797257997507,115.0,33.44,65.404,0.4444977991196479,0.6934517203107659,0,0.30972164520149564,1.0
44,1.25,bsps,0.2,1.0,100,19,15.056,543.8132080808082,0.06221229623680604,0.9355555555555556,41.92220190940483,115.0,36.472,68.956,0.44667760459392947,0.6962877030162413,0,0.29372333942717854,1.0
45,1.25,bsps,0.2,1.0,100,17,14.172,547.2404,0.06982255352094925,0.9883232323232324,41.472227752339236,114.0,34.912,68.964,0.44639674051438755,0.6994548471201707,0,0.2944455504678479,1.0
46,1.25,bsps,0.2,0.99,99,19,15.568,546.0125551020409,0.06232334231359789,0.969469387755102,43.32478974769724,116.0,34.884,68.572,0.44440525526849484,0.6958403462370762,0,0.3009611533840609,1.0
47,1.25,bsps,0.2,1.0,100,19,14.944,543.2965454545454,0.06144762122409181,0.916080808080808,43.06117127958283,115.0,35.048,68.692,0.4432884856070088,0.6921119592875318,0,0.31066987565182513,1.0
48,1.25,bsps,0.2,0.99,99,18,15.036,542.965906122449,0.06146818031241801,0.9207346938775511,41.687832855387136,115.0,36.508,68.68,0.4466306808288351,0.6938216243148979,0,0.29291274068004913,1.0
49,1.25,bsps,0.2,1.0,100,18,14.84,543.5985454545455,0.06259912636383226,0.9268282828282829,43.26427703523694,114.0,35.584,68.6,0.4433651762061492,0.6874312128549417,0,0.3128797083839611,1.0
0,1.25,baps,0.2,0.99,99,19,12.5,535.6778,0.049184031507339784,0.7837142857142857,56.51869448461062,119.0,27.824,55.564,0.5590056617126681,0.6500224921277553,0,0.42202024375129105,1.0
1,1.25,baps,0.2,1.0,100,18,12.5,539.1265090909093,0.0554349847683181,0.8357979797979799,56.79297820823245,118.0,27.256,57.5,0.555631266426555,0.6437012823736484,0,0.4128329297820823,1.0
2,1.25,baps,0.2,1.0,100,20,13.0,537.4608242424243,0.05158114478114478,0.8085656565656565,56.97066014669927,120.0,27.952,58.0,0.556869881710646,0.6467136150234741,0,0.4095354523227384,1.0
3,1.25,baps,0.2,0.99,99,18,12.12,534.9448979591837,0.04909782960803368,0.7688979591836735,56.44958409413674,118.0,27.676,55.764,0.557560890134922,0.6432621020497166,0,0.42726719415702985,1.0
4,1.25,baps,0.2,1.0,100,19,12.5,537.1748202020202,0.053544922913343965,0.809090909090909,57.49469604243166,119.0,28.9,57.5,0.5555175070627515,0.6419347778507332,0,0.4249286005711954,1.0
5,1.25,baps,0.2,0.97,97,19,14.0,538.5397291666667,0.05123221247563353,0.8317916666666667,52.92264504054897,119.0,29.388,59.12,0.5575511613850272,0.6427500535446562,0,0.39405281763360367,1.0
6,1.25,baps,0.2,1.0,100,21,14.0,536.6786020202021,0.04565079365079365,0.8014949494949494,58.76506267691064,121.0,28.536,57.192,0.5544278785701455,0.6387998167659185,0,0.4255964415689446,1.0
7,1.25,baps,0.2,1.0,100,18,11.5,534.0557737373738,0.05149405162738496,0.7560808080808082,59.84787878787879,118.0,28.344,55.848,0.5539363628524618,0.6344294003868471,0,0.45151515151515154,1.0
8,1.25,baps,0.2,1.0,100,22,14.412,534.5380646464647,0.042465958284140105,0.7633535353535353,57.89799672935405,121.0,28.928,57.5,0.5558553696708041,0.6502904162633107,0,0.4086263286999182,1.0
9,1.25,baps,0.2,1.0,100,21,13.0,534.0846222222223,0.04383145743145742,0.7527676767676766,61.24528301886792,121.0,27.032,54.528,0.5569664289441641,0.6454908929364727,0,0.44199116820553996,1.0
10,1.25,baps,0.2,1.0,100,22,14.5,537.3328404040404,0.046159779614325075,0.8136969696969696,59.05556686342357,122.0,28.944,57.0,0.5530371713508613,0.6393762183235867,0,0.42886220232037453,1.0
11,1.25,baps,0.2,1.0,100,22,15.0,536.7350787878788,0.043146005509641865,0.8012929292929293,60.2018732562774,122.0,28.172,57.5,0.5540063377093708,0.6338945005611673,0,0.43383818254284573,1.0
12,1.25,baps,0.2,1.0,100,19,13.0,535.8921333333334,0.049135262398420296,0.7878383838383838,56.84986595174263,119.0,29.012,57.504,0.5539319199256694,0.6447517569712083,0,0.4155495978552279,1.0
13,1.25,baps,0.2,1.0,100,18,12.704,536.0358343434345,0.05055122655122655,0.788121212121212,56.10890890890891,118.0,28.884,57.704,0.556928356928357,0.6443960826985854,0,0.4218218218218218,1.0
14,1.25,baps,0.2,1.0,100,18,12.5,534.3702383838385,0.04657174923841591,0.7603232323232323,57.38918704034983,118.0,27.88,55.576,0.5568064627019594,0.6432596445600347,0,0.42814549791293977,1.0
15,1.25,baps,0.2,1.0,100,18,12.996,536.3051272727273,0.049867724867724866,0.7915151515151515,56.41048644338118,118.0,28.648,58.004,0.5554354678915608,0.6399818057766659,0,0.416866028708134,1.0
16,1.25,baps,0.2,0.82,82,20,13.5,537.1376148148149,0.04838800705467372,0.8099259259259258,57.471932439145554,120.0,23.396,47.0,0.5549658832448825,0.6442991185669604,0,0.4187779433681073,1.0
17,1.25,baps,0.2,0.97,97,20,14.0,538.2125083333335,0.04893020833333334,0.8221666666666666,52.79543585526316,119.0,28.072,58.0,0.557737701822302,0.6470305361865833,0,0.38959703947368424,1.0
18,1.25,baps,0.2,1.0,100,20,14.5,536.2777090909092,0.045257912457912455,0.7943434343434344,56.297898140662895,120.0,29.36,58.5,0.5560063503263362,0.6439256572982774,0,0.41289409862570736,1.0
19,1.25,baps,0.2,1.0,100,19,13.0,536.268290909091,0.04870995670995672,0.7933333333333333,55.50625869262865,119.0,28.476,57.508,0.5586320631889593,0.6508149140433133,0,0.4047287899860918,1.0
20,1.25,baps,0.2,1.0,100,18,12.0,537.5222060606061,0.056240179573512905,0.8154747474747475,55.73228827361564,118.0,28.912,58.072,0.5553738920919026,0.6469513587577073,0,0.4134771986970684,1.0
21,1.25,baps,0.2,1.0,100,18,12.5,539.1889696969697,0.05762546095879429,0.8446868686868686,55.35207773413273,118.0,29.76,59.192,0.5528609648744283,0.6387944708814866,0,0.40893115567500515,1.0
22,1.25,baps,0.2,0.97,97,17,12.0,536.3538208333333,0.05379481792717087,0.7980833333333334,56.773652192154394,116.0,28.08,55.348,0.5558751743375174,0.6415636042402827,0,0.42794210195091253,1.0
23,1.25,baps,0.2,0.97,97,19,13.5,540.7204833333334,0.05485334429824561,0.8660416666666667,55.107031736154326,119.0,27.836,57.988,0.5562247106427025,0.6449187484841135,0,0.3895457373988799,1.0
24,1.25,baps,0.2,1.0,100,18,12.0,536.3546666666667,0.05176879910213243,0.7955959595959596,58.160024033647105,118.0,28.236,56.5,0.5558448554498114,0.6425951398441082,0,0.42980172241137593,1.0
25,1.25,baps,0.2,0.99,99,18,13.0,534.908224489796,0.046990362811791385,0.7695510204081634,56.29083181542198,117.0,28.084,56.0,0.555731922398589,0.6433106575963718,0,0.4272414490993726,1.0
26,1.25,baps,0.2,1.0,100,20,14.44,535.5928161616163,0.04321459034792367,0.7825858585858586,57.408556366585564,119.0,28.44,57.208,0.5573603118618897,0.6462375769048746,0,0.42254663422546634,1.0
27,1.25,baps,0.2,1.0,100,19,13.0,537.9841292929293,0.0520689602794866,0.8155959595959595,54.3109610802224,119.0,27.756,58.5,0.5593866255330733,0.6461263674927439,0,0.41084193804606833,1.0
28,1.25,baps,0.2,1.0,100,18,12.004,535.1436404040404,0.05146801346801347,0.772969696969697,56.80655539915544,118.0,28.492,57.008,0.5570792208926544,0.6435948143265217,0,0.42730746028554195,1.0
29,1.25,baps,0.2,1.0,100,18,13.5,536.7669050505052,0.04815937149270482,0.798141414141414,56.30212259472327,117.0,27.984,57.5,0.5583602026715799,0.6441410693970421,0,0.42074985121999603,1.0
30,1.25,baps,0.2,0.93,93,19,12.0,537.0109304347827,0.05360228832951945,0.811,59.864651773981606,119.0,26.428,52.02,0.554822245688138,0.6420428636570907,0,0.43385895751204556,1.0
31,1.25,baps,0.2,1.0,100,17,12.0,537.0620282828284,0.05527340633222985,0.808969696969697,56.50712994577224,117.0,29.344,58.216,0.5556820171598669,0.6389252948885976,0,0.4213697529624423,1.0
32,1.25,baps,0.2,1.0,100,20,13.5,535.4750949494951,0.045060606060606065,0.7793535353535354,58.74196157735086,120.0,27.936,56.52,0.5551853750213566,0.6421654929577465,0,0.43033367037411524,1.0
33,1.25,baps,0.2,1.0,100,19,14.0,538.7649777777779,0.05038596491228071,0.8381414141414141,54.6920041536864,119.0,29.7,59.588,0.554463480613165,0.6451923076923077,0,0.39190031152647975,1.0
34,1.25,baps,0.2,1.0,100,18,12.0,537.1536202020203,0.05426262626262626,0.8081616161616162,55.237659963436926,118.0,28.548,57.528,0.5559639772100716,0.647887323943662,0,0.40463132236441196,1.0
35,1.25,baps,0.2,1.0,100,24,16.0,533.0128202020202,0.03560269360269361,0.7336565656565656,60.92186870720902,124.0,27.72,56.676,0.5554794520547945,0.6406947890818858,0,0.4321385420861861,1.0
36,1.25,baps,0.2,0.97,97,21,14.0,533.6405541666667,0.04281746031746032,0.756,58.37724051688203,121.0,28.924,55.0,0.5567745035233824,0.6488870222595549,0,0.4149645685702376,1.0
37,1.25,baps,0.2,0.96,96,21,13.508,537.4459536842105,0.04675187969924812,0.8072842105263157,60.74291195907056,121.0,25.468,53.58,0.5546260834509171,0.6415882967607106,0,0.4414836921765082,1.0
38,1.25,baps,0.2,1.0,100,17,10.504,534.4158060606062,0.053674628639334525,0.7645656565656566,59.211959860741345,117.0,27.816,54.504,0.5553128937421251,0.6433079434167573,0,0.45074749129633424,1.0
39,1.25,baps,0.2,1.0,100,19,12.5,535.7534787878789,0.050100301258196,0.7855757575757576,57.19520130134201,118.0,28.3,57.036,0.55598033861278,0.6442307692307693,0,0.42374949166327774,1.0
40,1.25,baps,0.2,1.0,100,18,12.132,538.4690828282828,0.05649350649350649,0.8309494949494949,56.44312844598734,118.0,28.588,57.676,0.5538767755360535,0.6418870621872766,0,0.41372268735960793,1.0
